Tap Time,ITI,Asynchornies,Tone Time,IOI
,,,0.98,0.52
,,,1.52,0.54
2.08,,0.0100000000000002,2.07,0.5499999999999998
2.72,0.6400000000000001,0.0900000000000003,2.63,0.56
3.28,0.5599999999999996,0.0899999999999998,3.19,0.56
,,,3.76,0.5699999999999998
4.42,,0.0999999999999996,4.32,0.5600000000000005
,,,4.88,0.5599999999999996
5.42,,0.0099999999999997,5.41,0.5300000000000002
6.04,0.6200000000000001,0.08,5.96,0.5499999999999998
6.62,0.5800000000000001,0.1100000000000003,6.51,0.5499999999999998
7.03,0.4100000000000001,-0.0199999999999995,7.05,0.54
7.59,0.5599999999999996,0.0,7.59,0.54
,,,8.13,0.5400000000000009
8.74,,0.08,8.66,0.5299999999999994
,,,9.2,0.5399999999999991
9.74,,-0.0099999999999997,9.75,0.5500000000000007
10.26,0.5199999999999996,-0.0099999999999997,10.27,0.5199999999999996
10.84,0.5800000000000001,0.0099999999999997,10.83,0.5600000000000005
11.5,0.6600000000000001,0.1099999999999994,11.39,0.5600000000000005
,,,11.92,0.5299999999999994
12.51,,0.0199999999999995,12.49,0.5700000000000003
,,,13.05,0.5600000000000005
,,,13.61,0.5599999999999987
,,,14.11,0.5
14.76,,0.0399999999999991,14.72,0.6100000000000012
,,,,
,,,15.82,
16.34,,-0.0100000000000015,16.35,0.5300000000000011
16.88,0.5399999999999991,0.0399999999999991,16.84,0.4899999999999984
17.45,0.5700000000000003,-0.0100000000000015,17.46,0.620000000000001
17.98,0.5300000000000011,0.0100000000000015,17.97,0.509999999999998
18.49,0.509999999999998,-0.0100000000000015,18.5,0.5300000000000011
19.06,0.5700000000000003,0.0299999999999975,19.03,0.5300000000000011
,,,19.61,0.5799999999999983
,,,20.16,0.5500000000000007
20.73,,0.0199999999999995,20.71,0.5500000000000007
21.35,0.620000000000001,0.0899999999999998,21.26,0.5500000000000007
21.79,0.4399999999999977,-0.0700000000000002,21.86,0.5999999999999979
22.39,0.6000000000000014,-0.009999999999998,22.4,0.5399999999999991
22.97,0.5799999999999983,0.0399999999999991,22.93,0.5300000000000011
23.53,0.5600000000000023,0.0700000000000002,23.46,0.5300000000000011
24.04,0.509999999999998,0.009999999999998,24.03,0.5700000000000003
24.52,0.4800000000000004,-0.0500000000000007,24.57,0.5399999999999991
25.21,0.6900000000000013,0.0899999999999998,25.12,0.5500000000000007
25.66,0.4499999999999993,0.0199999999999995,25.64,0.5199999999999996
26.18,0.5199999999999996,-0.0300000000000011,26.21,0.5700000000000003
,,,26.77,0.5599999999999987
27.3,,-0.0199999999999995,27.32,0.5500000000000007
,,,27.87,0.5500000000000007
,,,28.41,0.5399999999999991
29.01,,0.0500000000000007,28.96,0.5500000000000007
29.57,0.5599999999999987,0.0300000000000011,29.54,0.5799999999999983
30.1,0.5300000000000011,-0.0499999999999971,30.15,0.6099999999999994
30.63,0.5299999999999976,-0.0400000000000027,30.67,0.5200000000000031
,,,31.19,0.5199999999999996
31.69,,-0.0399999999999991,31.73,0.5399999999999991
32.29,0.5999999999999979,0.0600000000000022,32.23,0.4999999999999964
32.84,0.5500000000000043,0.0300000000000011,32.81,0.5800000000000054
,,,33.36,0.5499999999999972
,,,33.9,0.5399999999999991
,,,34.46,0.5600000000000023
35.07,,0.009999999999998,35.06,0.6000000000000014
,,,35.6,0.5399999999999991
,,,,
36.8,,0.0899999999999963,36.71,
,,,37.27,0.5600000000000023
37.82,,0.0,37.82,0.5499999999999972
,,,38.4,0.5799999999999983
38.97,,0.019999999999996,38.95,0.5500000000000043
39.56,0.5900000000000034,0.0500000000000042,39.51,0.5599999999999952
,,,40.03,0.5200000000000031
,,,40.6,0.5700000000000003
,,,41.13,0.5300000000000011
,,,41.65,0.519999999999996
42.15,,-0.0300000000000011,42.18,0.5300000000000011
42.73,0.5799999999999983,0.0499999999999971,42.68,0.5
43.28,0.5500000000000043,0.0399999999999991,43.24,0.5600000000000023
43.81,0.5300000000000011,0.0,43.81,0.5700000000000003
44.38,0.5700000000000003,0.0600000000000022,44.32,0.509999999999998
44.83,0.4499999999999957,-0.0300000000000011,44.86,0.5399999999999991
45.4,0.5700000000000003,0.009999999999998,45.39,0.5300000000000011
45.95,0.5500000000000043,-0.019999999999996,45.97,0.5799999999999983
46.54,0.5899999999999963,0.0399999999999991,46.5,0.5300000000000011
47.03,0.490000000000002,-0.0300000000000011,47.06,0.5600000000000023
47.63,0.6000000000000014,0.0300000000000011,47.6,0.5399999999999991
48.24,0.6099999999999994,0.1000000000000014,48.14,0.5399999999999991
48.61,0.3699999999999974,-0.0600000000000022,48.67,0.5300000000000011
49.2,0.5900000000000034,-0.019999999999996,49.22,0.5499999999999972
49.74,0.5399999999999991,-0.0300000000000011,49.77,0.5500000000000043
50.34,0.6000000000000014,0.0,50.34,0.5700000000000003
50.92,0.5799999999999983,0.0200000000000031,50.9,0.5599999999999952
51.45,0.5300000000000011,0.0,51.45,0.5500000000000043
51.94,0.4899999999999949,-0.0700000000000002,52.01,0.5599999999999952
52.46,0.5200000000000031,-0.0600000000000022,52.52,0.5100000000000051
53.06,0.6000000000000014,0.0,53.06,0.5399999999999991
53.67,0.6099999999999994,0.0500000000000042,53.62,0.5599999999999952
,,,54.15,0.5300000000000011
54.76,,0.0300000000000011,54.73,0.5799999999999983
55.23,0.4699999999999988,-0.0400000000000062,55.27,0.5400000000000063
55.82,0.5900000000000034,-0.009999999999998,55.83,0.5599999999999952
56.38,0.5600000000000023,0.0100000000000051,56.37,0.5399999999999991
56.92,0.5399999999999991,0.0100000000000051,56.91,0.5399999999999991
57.49,0.5700000000000003,0.0399999999999991,57.45,0.5400000000000063
,,,57.99,0.5399999999999991
58.52,,-0.0399999999999991,58.56,0.5700000000000003
59.11,0.5899999999999963,-0.009999999999998,59.12,0.5599999999999952
59.69,0.5799999999999983,0.0399999999999991,59.65,0.5300000000000011
60.23,0.5399999999999991,0.019999999999996,60.21,0.5600000000000023
,,,,
61.34,,0.0200000000000031,61.32,
61.83,0.4899999999999949,0.0,61.83,0.509999999999998
62.4,0.5700000000000003,0.0,62.4,0.5700000000000003
,,,62.92,0.5200000000000031
63.54,,0.0799999999999983,63.46,0.5399999999999991
63.99,0.4500000000000028,-0.029999999999994,64.02,0.5599999999999952
64.52,0.529999999999994,-0.0700000000000073,64.59,0.5700000000000074
65.16,0.6400000000000006,0.0499999999999971,65.11,0.519999999999996
65.59,0.4300000000000068,-0.039999999999992,65.63,0.519999999999996
66.17,0.5799999999999983,0.019999999999996,66.15,0.5200000000000102
,,,66.73,0.5799999999999983
,,,67.26,0.5300000000000011
67.79,,-0.019999999999996,67.81,0.5499999999999972
68.33,0.539999999999992,0.0,68.33,0.519999999999996
68.79,0.4600000000000079,-0.059999999999988,68.85,0.519999999999996
,,,69.41,0.5600000000000023
69.97,,0.0499999999999971,69.92,0.5100000000000051
70.41,0.4399999999999977,-0.0700000000000073,70.48,0.5600000000000023
,,,71.01,0.5300000000000011
71.61,,0.0400000000000062,71.57,0.5599999999999881
72.15,0.5400000000000063,0.0500000000000113,72.1,0.5300000000000011
72.72,0.5699999999999932,0.0900000000000034,72.63,0.5300000000000011
73.23,0.5100000000000051,0.0499999999999971,73.18,0.5500000000000114
73.78,0.5499999999999972,0.0499999999999971,73.73,0.5499999999999972
74.24,0.4599999999999937,-0.0500000000000113,74.29,0.5600000000000023
74.81,0.5700000000000074,-0.0099999999999909,74.82,0.5299999999999869
75.39,0.5799999999999983,0.0,75.39,0.5700000000000074
75.96,0.5699999999999932,0.0499999999999971,75.91,0.519999999999996
,,,76.44,0.5300000000000011
76.94,,-0.0600000000000022,77.0,0.5600000000000023
77.48,0.5400000000000063,-0.0300000000000011,77.51,0.5100000000000051
78.08,0.5999999999999943,0.0600000000000022,78.02,0.5099999999999909
78.5,0.4200000000000017,-0.0499999999999971,78.55,0.5300000000000011
,,,79.09,0.5400000000000063
,,,79.66,0.5699999999999932
80.2,,0.0400000000000062,80.16,0.5
,,,80.72,0.5600000000000023
81.27,,0.019999999999996,81.25,0.5300000000000011
81.85,0.5799999999999983,0.059999999999988,81.79,0.5400000000000063
82.37,0.5200000000000102,0.0100000000000051,82.36,0.5699999999999932
,,,82.89,0.5300000000000011
83.42,,-0.0499999999999971,83.47,0.5799999999999983
84.05,0.6299999999999955,0.0300000000000011,84.02,0.5499999999999972
84.61,0.5600000000000023,0.0699999999999931,84.54,0.5200000000000102
,,,85.1,0.5599999999999881
,,,85.62,0.5200000000000102
86.24,,0.0799999999999983,86.16,0.539999999999992
86.81,0.5700000000000074,0.0799999999999983,86.73,0.5700000000000074
,,,87.27,0.539999999999992
,,,87.81,0.5400000000000063
88.41,,0.0099999999999909,88.4,0.5900000000000034
,,,88.96,0.5599999999999881
,,,89.5,0.5400000000000063
