Tone Time,IOI,Asynchornies,Tap Time,ITI
,,,0.74,
,,,,
1.77,,,,
2.36,0.5899999999999999,-0.07000000000000028,2.43,
2.96,0.6000000000000001,-0.020000000000000018,2.98,0.5499999999999998
3.54,0.5800000000000001,,,
4.13,0.5899999999999999,-0.0600000000000005,4.19,
4.72,0.5899999999999999,,,
5.3,0.5800000000000001,-0.07000000000000028,5.37,
5.89,0.5899999999999999,-0.05000000000000071,5.94,0.5700000000000003
6.48,0.5900000000000007,-0.0699999999999994,6.55,0.6099999999999994
7.07,0.5899999999999999,,,
7.66,0.5899999999999999,-0.04999999999999982,7.71,
8.24,0.5800000000000001,,,
8.83,0.5899999999999999,-0.11999999999999922,8.95,
9.4,0.5700000000000003,-0.019999999999999574,9.42,0.4700000000000006
9.96,0.5600000000000005,,,
10.55,0.5899999999999999,,,
11.13,0.5800000000000001,-0.02999999999999936,11.16,
11.72,0.5899999999999999,,,
12.28,0.5599999999999987,-0.030000000000001137,12.31,
12.86,0.5800000000000001,-0.02000000000000135,12.88,0.5700000000000003
13.45,0.5899999999999999,-0.010000000000001563,13.46,0.5800000000000001
14.02,0.5700000000000003,,,
14.6,0.5800000000000001,-0.05000000000000071,14.65,
15.18,0.5800000000000001,,,
15.76,0.5800000000000001,-0.040000000000000924,15.8,
16.34,0.5800000000000001,-0.019999999999999574,16.36,0.5599999999999987
16.93,0.5899999999999999,-0.07000000000000028,17.0,0.6400000000000006
17.5,0.5700000000000003,,,
18.1,0.6000000000000014,-0.07000000000000028,18.17,
18.7,0.5999999999999979,-0.030000000000001137,18.73,0.5599999999999987
19.28,0.5800000000000018,-0.04999999999999716,19.33,0.5999999999999979
19.88,0.5999999999999979,-0.010000000000001563,19.89,0.5600000000000023
20.47,0.5899999999999999,0.029999999999997584,20.44,0.5500000000000007
21.04,0.5700000000000003,0.019999999999999574,21.02,0.5799999999999983
21.61,0.5700000000000003,-0.030000000000001137,21.64,0.620000000000001
22.19,0.5800000000000018,,,
22.77,0.5799999999999983,-0.030000000000001137,22.8,
23.34,0.5700000000000003,,,
23.91,0.5700000000000003,0.0,23.91,
24.51,0.6000000000000014,,,
25.09,0.5799999999999983,,,
25.65,0.5599999999999987,-0.0400000000000027,25.69,
26.22,0.5700000000000003,-0.030000000000001137,26.25,0.5599999999999987
26.78,0.5600000000000023,-0.04999999999999716,26.83,0.5799999999999983
27.36,0.5799999999999983,-0.010000000000001563,27.37,0.5400000000000027
27.91,0.5500000000000007,-0.010000000000001563,27.92,0.5500000000000007
28.48,0.5700000000000003,,,
29.05,0.5700000000000003,,,
29.62,0.5700000000000003,-0.05000000000000071,29.67,
30.24,0.6199999999999974,0.019999999999999574,30.22,0.5499999999999972
30.79,0.5500000000000007,,,
31.37,0.5800000000000018,-0.00999999999999801,31.38,
31.93,0.5599999999999987,,,
32.52,0.5900000000000034,0.0,32.52,
33.1,0.5799999999999983,0.0,33.1,0.5799999999999983
33.68,0.5799999999999983,0.0,33.68,0.5799999999999983
34.24,0.5600000000000023,0.0,34.24,0.5600000000000023
34.82,0.5799999999999983,,,
35.38,0.5600000000000023,-0.05999999999999517,35.44,
35.97,0.5899999999999963,-0.020000000000003126,35.99,0.5500000000000043
36.55,0.5799999999999983,-0.010000000000005116,36.56,0.5700000000000003
37.11,0.5600000000000023,,,
37.68,0.5700000000000003,-0.030000000000001137,37.71,
38.23,0.5499999999999972,0.02999999999999403,38.2,0.490000000000002
38.79,0.5600000000000023,0.0,38.79,0.5899999999999963
39.36,0.5700000000000003,,,
39.94,0.5799999999999983,-0.0800000000000054,40.02,
40.51,0.5700000000000003,-0.03999999999999915,40.55,0.529999999999994
41.08,0.5700000000000003,0.05999999999999517,41.02,0.4700000000000059
41.66,0.5799999999999983,0.04999999999999716,41.61,0.5899999999999963
42.21,0.5500000000000043,,,
42.81,0.6000000000000014,,,
43.37,0.5599999999999952,-0.020000000000003126,43.39,
43.94,0.5700000000000003,-0.03999999999999915,43.98,0.5899999999999963
44.52,0.5800000000000054,-0.02999999999999403,44.55,0.5700000000000003
45.11,0.5899999999999963,0.0,45.11,0.5600000000000023
45.68,0.5700000000000003,-0.00999999999999801,45.69,0.5799999999999983
46.26,0.5799999999999983,-0.010000000000005116,46.27,0.5800000000000054
46.83,0.5700000000000003,-0.020000000000003126,46.85,0.5799999999999983
47.41,0.5799999999999983,-0.020000000000003126,47.43,0.5799999999999983
47.99,0.5800000000000054,-0.01999999999999602,48.01,0.5799999999999983
48.55,0.5599999999999952,-0.020000000000003126,48.57,0.5600000000000023
49.12,0.5700000000000003,0.00999999999999801,49.11,0.5399999999999991
49.69,0.5700000000000003,-0.030000000000001137,49.72,0.6099999999999994
50.25,0.5600000000000023,-0.020000000000003126,50.27,0.5500000000000043
50.83,0.5799999999999983,,,
51.39,0.5600000000000023,0.03999999999999915,51.35,
51.98,0.5899999999999963,,,
52.54,0.5600000000000023,-0.13000000000000256,52.67,
53.11,0.5700000000000003,-0.030000000000001137,53.14,0.4699999999999988
53.66,0.5499999999999972,-0.04000000000000625,53.7,0.5600000000000023
54.25,0.5900000000000034,-0.030000000000001137,54.28,0.5799999999999983
54.79,0.5399999999999991,-0.03999999999999915,54.83,0.5499999999999972
55.36,0.5700000000000003,,,
55.93,0.5700000000000003,0.0,55.93,
56.5,0.5700000000000003,-0.03999999999999915,56.54,0.6099999999999994
57.06,0.5600000000000023,-0.00999999999999801,57.07,0.5300000000000011
57.63,0.5700000000000003,-0.02999999999999403,57.66,0.5899999999999963
58.19,0.5599999999999952,-0.020000000000003126,58.21,0.5500000000000043
58.76,0.5700000000000003,-0.030000000000001137,58.79,0.5799999999999983
59.35,0.5900000000000034,,,
59.9,0.5499999999999972,-0.060000000000002274,59.96,
60.47,0.5700000000000003,-0.060000000000002274,60.53,0.5700000000000003
61.04,0.5700000000000003,,,
61.6,0.5600000000000023,-0.0799999999999983,61.68,
62.16,0.5599999999999952,,,
62.72,0.5600000000000023,0.04999999999999716,62.67,
63.27,0.5500000000000043,,,
63.82,0.5499999999999972,-0.04999999999999716,63.87,
64.39,0.5700000000000003,-0.04999999999999716,64.44,0.5700000000000003
64.96,0.5699999999999932,0.0,64.96,0.519999999999996
65.54,0.5800000000000125,-0.029999999999986926,65.57,0.6099999999999994
66.1,0.5599999999999881,-0.060000000000002274,66.16,0.5900000000000034
66.68,0.5800000000000125,-0.029999999999986926,66.71,0.5499999999999972
67.25,0.5699999999999932,-0.04000000000000625,67.29,0.5800000000000125
67.83,0.5799999999999983,-0.04999999999999716,67.88,0.5899999999999892
68.41,0.5799999999999983,-0.04999999999999716,68.46,0.5799999999999983
68.98,0.5700000000000074,-0.06999999999999318,69.05,0.5900000000000034
69.57,0.5899999999999892,-0.04000000000000625,69.61,0.5600000000000023
70.15,0.5800000000000125,,,
70.72,0.5699999999999932,-0.01999999999999602,70.74,
71.3,0.5799999999999983,,,
