Tap Time,ITI,Asynchornies,Tone Time,IOI
,,,0.89,0.5800000000000001
,,,1.46,0.57
2.06,,0.04,2.02,0.56
2.62,0.56,0.04,2.58,0.56
3.18,0.56,0.0500000000000002,3.13,0.5499999999999998
3.72,0.54,0.02,3.7,0.5700000000000003
4.29,0.5699999999999998,0.0499999999999998,4.24,0.54
,,,4.82,0.5800000000000001
,,,5.38,0.5599999999999996
,,,5.94,0.5600000000000005
6.52,,0.0099999999999997,6.51,0.5699999999999994
7.08,0.5600000000000005,0.0300000000000002,7.05,0.54
7.64,0.5599999999999996,0.0299999999999993,7.61,0.5600000000000005
8.17,0.5300000000000002,0.0,8.17,0.5599999999999996
,,,8.73,0.5600000000000005
,,,9.29,0.5599999999999987
9.9,,0.0400000000000009,9.86,0.5700000000000003
,,,10.43,0.5700000000000003
11.02,,0.0599999999999987,10.96,0.5300000000000011
,,,11.53,0.5699999999999985
12.08,,-0.0099999999999997,12.09,0.5600000000000005
12.66,0.5800000000000001,0.0,12.66,0.5700000000000003
,,,13.21,0.5500000000000007
,,,13.78,0.5699999999999985
14.42,,0.0700000000000002,14.35,0.5700000000000003
14.92,0.5,0.0099999999999997,14.91,0.5600000000000005
15.54,0.6199999999999992,0.0699999999999985,15.47,0.5600000000000005
16.09,0.5500000000000007,0.0399999999999991,16.05,0.5800000000000001
16.63,0.5399999999999991,0.0199999999999995,16.61,0.5599999999999987
,,,17.19,0.5800000000000018
17.79,,0.0500000000000007,17.74,0.5499999999999972
18.33,0.5399999999999991,0.0199999999999995,18.31,0.5700000000000003
18.89,0.5600000000000023,0.0100000000000015,18.88,0.5700000000000003
19.51,0.620000000000001,0.0700000000000002,19.44,0.5600000000000023
20.03,0.5199999999999996,0.0199999999999995,20.01,0.5700000000000003
20.58,0.5499999999999972,0.0,20.58,0.5699999999999967
21.18,0.6000000000000014,0.0300000000000011,21.15,0.5700000000000003
21.73,0.5500000000000007,0.0100000000000015,21.72,0.5700000000000003
22.29,0.5599999999999987,-0.0199999999999995,22.31,0.5899999999999999
,,,22.87,0.5600000000000023
,,,23.45,0.5799999999999983
,,,24.03,0.5800000000000018
24.63,,0.0299999999999975,24.6,0.5700000000000003
25.2,0.5700000000000003,0.0500000000000007,25.15,0.5499999999999972
25.73,0.5300000000000011,0.0,25.73,0.5800000000000018
26.31,0.5799999999999983,0.0199999999999995,26.29,0.5599999999999987
,,,26.84,0.5500000000000007
,,,27.41,0.5700000000000003
,,,27.96,0.5500000000000007
,,,28.52,0.5599999999999987
29.1,,0.0200000000000031,29.08,0.5599999999999987
,,,29.65,0.5700000000000003
30.35,,0.1300000000000025,30.22,0.5700000000000003
30.79,0.4399999999999977,0.009999999999998,30.78,0.5600000000000023
31.32,0.5300000000000011,-0.009999999999998,31.33,0.5499999999999972
,,,31.9,0.5700000000000003
,,,32.45,0.5500000000000043
33.04,,0.0300000000000011,33.01,0.5599999999999952
33.59,0.5500000000000043,0.0200000000000031,33.57,0.5600000000000023
34.12,0.529999999999994,-0.0100000000000051,34.13,0.5600000000000023
34.71,0.5900000000000034,0.009999999999998,34.7,0.5700000000000003
,,,35.26,0.5599999999999952
,,,35.82,0.5600000000000023
36.4,,0.009999999999998,36.39,0.5700000000000003
36.98,0.5799999999999983,0.029999999999994,36.95,0.5600000000000023
37.53,0.5500000000000043,0.009999999999998,37.52,0.5700000000000003
38.11,0.5799999999999983,0.0300000000000011,38.08,0.5599999999999952
,,,38.65,0.5700000000000003
39.31,,0.0900000000000034,39.22,0.5700000000000003
39.82,0.509999999999998,0.0399999999999991,39.78,0.5600000000000023
40.37,0.5499999999999972,0.009999999999998,40.36,0.5799999999999983
40.92,0.5500000000000043,0.0,40.92,0.5600000000000023
41.49,0.5700000000000003,0.0100000000000051,41.48,0.5599999999999952
,,,42.05,0.5700000000000003
,,,42.61,0.5600000000000023
43.2,,0.0100000000000051,43.19,0.5799999999999983
43.75,0.5499999999999972,-0.009999999999998,43.76,0.5700000000000003
44.33,0.5799999999999983,0.019999999999996,44.31,0.5500000000000043
44.89,0.5600000000000023,0.0200000000000031,44.87,0.5599999999999952
45.44,0.5499999999999972,0.009999999999998,45.43,0.5600000000000023
,,,46.0,0.5700000000000003
46.58,,0.009999999999998,46.57,0.5700000000000003
47.18,0.6000000000000014,0.0300000000000011,47.15,0.5799999999999983
,,,47.73,0.5799999999999983
48.33,,0.0300000000000011,48.3,0.5700000000000003
48.88,0.5500000000000043,0.0100000000000051,48.87,0.5700000000000003
49.54,0.6599999999999966,0.0899999999999963,49.45,0.5800000000000054
,,,50.02,0.5700000000000003
,,,50.59,0.5700000000000003
51.11,,-0.0600000000000022,51.17,0.5799999999999983
